metric,value
scenario_status,{"status": "SUCCESS", "reason": "route_completed_without_collision_or_illegal_lane_invasion", "actors": {"ego": 147, "traffic_148": 148, "traffic_149": 149, "traffic_150": 150, "traffic_151": 151, "traffic_152": 152, "traffic_153": 153, "traffic_154": 154, "traffic_155": 155, "traffic_156": 156, "traffic_157": 157, "traffic_158": 158, "traffic_159": 159, "traffic_160": 160, "traffic_161": 161, "traffic_162": 162, "traffic_163": 163, "traffic_164": 164, "traffic_165": 165}, "metrics": {"collision_count": 0, "lane_invasion_count": 12, "simulation_time": 524.3000078119337, "min_distance": null, "reaction_time": null, "route_progress_m": 4977.311, "route_length_m": 4995.0, "route_cross_track_error_m": 0.002, "illegal_lane_invasion_count": 0}, "route_progress_m": 4977.311, "route_length_m": 4995.0, "route_cross_track_error_m": 0.002, "emitted_command_ids": ["c01_depart_45", "c02_cruise_60", "c03_reduce_for_right_turn", "c04_change_left", "c05_change_right", "c06_hold_45", "c07_turn_left", "c08_keep_50", "c09_reduce_for_turn", "c10_keep_35", "c11_accelerate_50", "c12_keep_50", "c13_reduce_45", "c14_reduce_40_final", "c15_keep_to_goal"], "applied_route_directives": [{"distance_m": 2200, "action": "turn_left", "id": "c07_turn_left", "applied_distance_m": 2200.0, "entry_road_id": 23, "selected_road_id": 23, "entry_yaw_deg": -216.24}], "route_preflight": {"selected_candidate_position": 0, "selected_spawn_location": {"x": -482.738, "y": 178.942, "z": 1.0}, "applied_directives": [{"distance_m": 2200, "action": "turn_left", "id": "c07_turn_left", "applied_distance_m": 2200.0, "entry_road_id": 23, "selected_road_id": 23, "entry_yaw_deg": -216.24}], "continuity_horizon_m": 5000.0, "max_uncommanded_heading_delta_deg": 50.0, "turn_evidence": [{"id": "c07_turn_left", "action": "turn_left", "entry_distance_m": 2200.0, "entry_road_id": 23, "exit_road_id": 40, "heading_change_deg": -144.128, "junction_observed": true}]}, "turn_executions": {"c07_turn_left": {"action": "turn_left", "start_road_id": 23, "start_yaw_deg": 144.217, "entered_junction": true, "exited_junction": true, "final_road_id": 40, "signed_heading_change_deg": -143.98, "completed": true}}, "traffic": {"mode": "fixed_route_traffic_manager", "active_actor_count": 17, "visible_actor_count": 1, "recycle_count": 102, "traffic_event_count": 120, "recent_traffic_events": [{"id": "flow_10", "status": "respawned_out_of_view", "old_actor_id": 218, "actor_id": 234, "route_distance_m": 3030.6, "lane_from_right": 2, "tick": 6413}, {"id": "flow_16", "status": "respawned_out_of_view", "old_actor_id": 225, "actor_id": 235, "route_distance_m": 3064.5, "lane_from_right": 2, "tick": 6463}, {"id": "flow_12", "status": "respawned_out_of_view", "old_actor_id": 224, "actor_id": 236, "route_distance_m": 3143.5, "lane_from_right": 3, "tick": 6644}, {"id": "flow_04", "status": "respawned_out_of_view", "old_actor_id": 151, "actor_id": 237, "route_distance_m": 3174.8, "lane_from_right": 2, "tick": 6699}, {"id": "flow_05", "status": "respawned_out_of_view", "old_actor_id": 227, "actor_id": 238, "route_distance_m": 3204.5, "lane_from_right": 3, "tick": 6749}, {"id": "flow_08", "status": "respawned_out_of_view", "old_actor_id": 222, "actor_id": 239, "route_distance_m": 3305.4, "lane_from_right": 2, "tick": 6935}, {"id": "flow_02", "status": "respawned_out_of_view", "old_actor_id": 226, "actor_id": 240, "route_distance_m": 3343.0, "lane_from_right": 2, "tick": 7005}, {"id": "flow_11", "status": "respawned_out_of_view", "old_actor_id": 221, "actor_id": 241, "route_distance_m": 3381.4, "lane_from_right": 3, "tick": 7062}, {"id": "flow_06", "status": "respawned_out_of_view", "old_actor_id": 229, "actor_id": 242, "route_distance_m": 3548.0, "lane_from_right": 2, "tick": 7486}, {"id": "flow_16", "status": "respawned_out_of_view", "old_actor_id": 235, "actor_id": 243, "route_distance_m": 3583.6, "lane_from_right": 3, "tick": 7536}, {"id": "flow_10", "status": "respawned_out_of_view", "old_actor_id": 234, "actor_id": 244, "route_distance_m": 3613.2, "lane_from_right": 2, "tick": 7641}, {"id": "flow_03", "status": "respawned_out_of_view", "old_actor_id": 233, "actor_id": 245, "route_distance_m": 3645.5, "lane_from_right": 2, "tick": 7691}, {"id": "flow_05", "status": "respawned_out_of_view", "old_actor_id": 238, "actor_id": 246, "route_distance_m": 3693.8, "lane_from_right": 3, "tick": 7741}, {"id": "flow_04", "status": "respawned_out_of_view", "old_actor_id": 237, "actor_id": 247, "route_distance_m": 3727.6, "lane_from_right": 3, "tick": 7791}, {"id": "flow_12", "status": "respawned_out_of_view", "old_actor_id": 236, "actor_id": 248, "route_distance_m": 3759.7, "lane_from_right": 2, "tick": 7841}, {"id": "flow_02", "status": "respawned_out_of_view", "old_actor_id": 240, "actor_id": 249, "route_distance_m": 3828.4, "lane_from_right": 2, "tick": 8075}, {"id": "flow_11", "status": "respawned_out_of_view", "old_actor_id": 241, "actor_id": 250, "route_distance_m": 3853.7, "lane_from_right": 3, "tick": 8100}, {"id": "flow_08", "status": "respawned_out_of_view", "old_actor_id": 239, "actor_id": 251, "route_distance_m": 3884.4, "lane_from_right": 2, "tick": 8150}, {"id": "flow_16", "status": "respawned_out_of_view", "old_actor_id": 243, "actor_id": 252, "route_distance_m": 3962.0, "lane_from_right": 3, "tick": 8361}, {"id": "flow_18", "status": "respawned_out_of_view", "old_actor_id": 231, "actor_id": 253, "route_distance_m": 3985.2, "lane_from_right": 2, "tick": 8386}, {"id": "flow_06", "status": "respawned_out_of_view", "old_actor_id": 242, "actor_id": 254, "route_distance_m": 4024.7, "lane_from_right": 3, "tick": 8436}, {"id": "flow_04", "status": "respawned_out_of_view", "old_actor_id": 247, "actor_id": 255, "route_distance_m": 4054.9, "lane_from_right": 3, "tick": 8486}, {"id": "flow_05", "status": "respawned_out_of_view", "old_actor_id": 246, "actor_id": 256, "route_distance_m": 4152.4, "lane_from_right": 3, "tick": 8646}, {"id": "flow_08", "status": "respawned_out_of_view", "old_actor_id": 251, "actor_id": 257, "route_distance_m": 4297.8, "lane_from_right": 2, "tick": 8974}, {"id": "flow_02", "status": "respawned_out_of_view", "old_actor_id": 249, "actor_id": 258, "route_distance_m": 4323.6, "lane_from_right": 3, "tick": 8994}, {"id": "flow_11", "status": "respawned_out_of_view", "old_actor_id": 250, "actor_id": 259, "route_distance_m": 4345.5, "lane_from_right": 2, "tick": 9016}, {"id": "flow_10", "status": "respawned_out_of_view", "old_actor_id": 244, "actor_id": 260, "route_distance_m": 4370.2, "lane_from_right": 3, "tick": 9043}, {"id": "flow_18", "status": "respawned_out_of_view", "old_actor_id": 253, "actor_id": 261, "route_distance_m": 4434.3, "lane_from_right": 2, "tick": 9226}, {"id": "flow_14", "status": "respawned_out_of_view", "old_actor_id": 161, "actor_id": 262, "route_distance_m": 4462.7, "lane_from_right": 3, "tick": 9250}, {"id": "flow_05", "status": "respawned_out_of_view", "old_actor_id": 256, "actor_id": 263, "route_distance_m": 4485.3, "lane_from_right": 2, "tick": 9273}, {"id": "flow_17", "status": "respawned_out_of_view", "old_actor_id": 164, "actor_id": 264, "route_distance_m": 4510.2, "lane_from_right": 3, "tick": 9300}, {"id": "flow_01", "status": "respawned_out_of_view", "old_actor_id": 148, "actor_id": 265, "route_distance_m": 4614.1, "lane_from_right": 2, "tick": 9551}, {"id": "flow_13", "status": "respawned_out_of_view", "old_actor_id": 232, "actor_id": 266, "route_distance_m": 4635.2, "lane_from_right": 3, "tick": 9589}, {"id": "flow_06", "status": "respawned_out_of_view", "old_actor_id": 254, "actor_id": 267, "route_distance_m": 4669.5, "lane_from_right": 2, "tick": 9624}, {"id": "flow_12", "status": "respawned_out_of_view", "old_actor_id": 248, "actor_id": 268, "route_distance_m": 4690.0, "lane_from_right": 3, "tick": 9661}, {"id": "flow_03", "status": "respawned_out_of_view", "old_actor_id": 245, "actor_id": 269, "route_distance_m": 4727.7, "lane_from_right": 2, "tick": 9711}, {"id": "flow_10", "status": "respawned_out_of_view", "old_actor_id": 260, "actor_id": 270, "route_distance_m": 4755.2, "lane_from_right": 2, "tick": 9761}, {"id": "flow_04", "status": "respawned_out_of_view", "old_actor_id": 255, "actor_id": 271, "route_distance_m": 4923.5, "lane_from_right": 3, "tick": 10161}, {"id": "flow_16", "status": "respawned_out_of_view", "old_actor_id": 252, "actor_id": 272, "route_distance_m": 4959.2, "lane_from_right": 3, "tick": 10208}, {"id": "flow_07", "status": "respawned_out_of_view", "old_actor_id": 230, "actor_id": 273, "route_distance_m": 4983.0, "lane_from_right": 2, "tick": 10239}], "scripted_event_count": 0}}
scene_understanding_capture,{"captured": 524, "camera_timeouts": 0}
speeding_frames,0
speeding_rate,0.0
steer_accel_abs_max_per_s2,24.0212
steer_accel_abs_p95_per_s2,1.1418
steer_direction_reversal_count,17
steer_rate_abs_max_per_s,1.2011
steer_rate_abs_p95_per_s,0.0942
straight_steer_abs_p95,0.0408
straight_steer_rate_abs_p95_per_s,0.0235
task_completed,True
violation_free,True
